央视,#genre#
宝应生活,http://192.168.0.101:35455/rptv/G_BAOYINGSH.m3u8?license=gitv
江都频道,http://192.168.0.101:35455/rptv/G_YANGZHOUJD.m3u8?license=gitv
镇江一套,http://192.168.0.101:35455/rptv/G_ZHENJIANGTV-1.m3u8?license=gitv
镇江二套,http://192.168.0.101:35455/rptv/G_ZHENJIANGTV-2.m3u8?license=gitv
镇江三套,http://192.168.0.101:35455/rptv/G_ZHENJIANGTV-3.m3u8?license=gitv
宿迁综合,http://192.168.0.101:35455/rptv/G_SQZH.m3u8?license=gitv
宿迁公共,http://192.168.0.101:35455/rptv/G_SQGG.m3u8?license=gitv
邳州综合,http://192.168.0.101:35455/rptv/pzzonghe.m3u8?license=gitv
邳州综艺,http://192.168.0.101:35455/rptv/pzzongyi.m3u8?license=gitv
赣榆新闻,http://192.168.0.101:35455/rptv/HD-2500k-1080P-ganyutv.m3u8?license=gitv
江苏仪化,http://192.168.0.101:35455/rptv/HD-4000k-1080P-jsyihua.m3u8?license=gitv
好享购物,http://192.168.0.101:35455/rptv/G_HAOXIANG.m3u8?license=gitv
居家优选,http://192.168.0.101:35455/rptv/G_JUJIAYX.m3u8?license=gitv
优购物,http://192.168.0.101:35455/rptv/jsyougou.m3u8?license=gitv
时尚购物,http://192.168.0.101:35455/rptv/jsshishanggw.m3u8?license=gitv

慢直播,#genre#
北极阁慢直播,http://192.168.0.101:35455/rptv/G_MZB-NT.m3u8?license=gitv
南京南站慢直播,http://192.168.0.101:35455/rptv/G_MZB-SQ.m3u8?license=gitv
牛首山慢直播,http://192.168.0.101:35455/rptv/G_MZB-TZ.m3u8?license=gitv
长江大桥慢直播,http://192.168.0.101:35455/rptv/GITV-JS-38.m3u8?license=gitv
新街口慢直播,http://192.168.0.101:35455/rptv/G_MZB-ZJ.m3u8?license=gitv
音乐台慢直播,http://192.168.0.101:35455/rptv/G_MZB-YZ.m3u8?license=gitv
